0,674,72,68,308,true
1,467,51,34,377,false
2,659,60,65,342,false
3,131,30,12,215,false
4,45,68,59,192,false
5,198,43,13,389,false
6,349,2,44,386,false
7,984,2,90,494,false
8,155,72,40,24,true
9,274,26,5,178,false
10,491,87,64,155,false
11,979,40,100,259,true
12,114,63,11,194,false
13,199,21,55,397,false
14,858,75,90,108,false
15,906,29,16,347,false
16,953,94,30,343,false
17,360,59,28,181,false
18,16,41,81,148,false
19,484,41,13,348,false
20,10,49,33,194,false
21,682,44,92,457,false
22,729,8,78,83,false
23,876,59,32,319,false
24,178,8,99,276,false
25,359,66,1,308,false
26,735,75,6,448,false
27,692,59,90,33,false
28,511,67,14,480,false
29,848,56,51,445,false
30,926,12,36,262,false
31,291,92,76,123,false
32,18,69,60,254,false
33,118,49,96,157,false
34,328,96,100,385,false
35,959,8,85,309,false
36,256,31,94,329,false
37,454,44,99,287,false
38,392,64,51,287,false
39,467,62,26,417,false
40,31,65,29,125,false
41,621,81,75,158,false
42,575,1,89,308,false
43,870,49,17,201,false
44,357,47,58,475,false
45,303,42,55,213,false
46,637,36,68,164,false
47,717,72,90,417,false
48,373,97,7,371,false
49,503,90,27,485,false
50,366,53,16,78,true
51,146,41,40,436,false
52,722,49,63,349,true
53,344,84,90,310,false
54,530,86,14,332,false
55,583,52,86,334,false
56,503,84,15,268,true
57,129,7,43,383,true
58,995,26,3,173,false
59,408,14,43,93,false
60,683,73,90,180,true
61,288,40,72,233,false
62,823,55,98,161,false
63,40,99,46,489,false
64,874,84,77,225,false
65,411,72,76,39,false
66,460,12,15,30,false
67,703,20,28,327,true
68,786,77,33,228,false
69,641,3,39,399,false
70,543,53,40,301,false
71,432,33,9,426,false
72,514,14,8,402,false
73,670,23,2,352,false
74,707,40,36,55,false
75,483,72,67,396,false
76,467,53,24,55,false
77,929,41,30,446,false
78,159,3,60,478,false
79,79,59,11,468,false
80,827,59,16,446,false
81,401,56,94,319,false
82,130,51,91,93,true
83,319,13,9,343,false
84,947,39,83,15,false
85,506,16,57,202,false
86,880,1,52,262,false
87,890,97,43,385,false
88,167,51,17,213,false
89,840,75,85,138,false
90,396,53,99,239,false
91,734,98,60,432,false
92,668,45,70,192,false
93,246,77,35,322,false
94,664,22,78,490,false
95,118,96,39,374,false
96,965,90,15,364,true
97,883,1,10,169,false
98,246,87,24,60,false
99,507,6,42,329,false
100,39,77,64,31,false
101,443,44,38,413,false
102,391,12,22,145,false
103,825,65,8,187,false
104,521,5,81,95,false
105,980,26,78,404,false
106,988,66,65,352,false
107,874,65,72,76,false
108,336,20,47,57,false
109,171,12,9,209,false
110,680,14,93,418,false
111,518,94,51,331,true
112,684,63,88,244,false
113,274,3,42,475,false
114,96,44,10,265,false
115,818,93,97,227,false
116,761,75,96,168,false
117,422,10,13,367,false
118,489,39,46,165,false
119,858,39,11,57,false
120,785,54,48,181,false
121,286,36,83,245,false
122,787,16,81,269,false
123,739,57,94,45,true
124,621,47,100,307,false
125,70,12,37,249,false
126,359,50,24,451,false
127,689,69,88,58,false
128,438,54,63,367,true
129,254,28,65,134,false
130,242,28,33,119,false
131,526,23,1,135,false
132,545,57,99,132,false
133,108,49,43,422,false
134,843,70,10,197,false
135,422,3,96,500,true
136,160,96,23,245,false
137,997,13,24,23,false
138,598,60,20,290,false
139,229,56,1,415,false
140,894,49,17,294,false
141,803,35,13,365,false
142,557,41,41,239,false
143,942,9,4,453,true
144,515,61,77,54,false
145,296,86,36,76,false
146,670,13,80,241,false
147,77,87,44,200,false
148,495,84,59,230,false
149,804,26,3,452,false
150,83,34,82,101,false
151,490,18,66,357,false
152,152,95,4,195,false
153,521,25,30,311,false
154,162,34,7,299,false
155,272,25,39,295,false
156,754,42,5,384,false
157,963,47,89,385,false
158,907,7,58,444,false
159,246,51,71,97,false
160,589,66,57,389,false
161,791,96,100,456,true
162,526,33,50,292,false
163,391,76,67,253,false
